word,category,syllables,tonic
fastidiosamente,adverbio,fas ti dio sa men te,5
fastuosamente,adverbio,fas tuo sa men te,4
fatal,adverbio,fa tal,2
fatalmente,adverbio,fa tal men te,3
fatigosamente,adverbio,fa ti go sa men te,5
favorablemente,adverbio,fa vo ra ble men te,5
fe,adverbio,fe,1
feamente,adverbio,fe a men te,3
feblemente,adverbio,fe ble men te,3
febrilmente,adverbio,fe bril men te,3
fecundamente,adverbio,fe cun da men te,4
felizmente,adverbio,fe liz men te,3
fenomenal,adverbio,fe no me nal,4
fenómeno,adverbio,fe nó me no,2
ferozmente,adverbio,fe roz men te,3
fervientemente,adverbio,fer vien te men te,4
fervorosamente,adverbio,fer vo ro sa men te,5
festivamente,adverbio,fes ti va men te,4
fielmente,adverbio,fiel men te,2
fieramente,adverbio,fie ra men te,3
figuradamente,adverbio,fi gu ra da men te,5
figurativamente,adverbio,fi gu ra ti va men te,6
fijamente,adverbio,fi ja men te,3
filialmente,adverbio,fi lial men te,3
filosofalmente,adverbio,fi lo so fal men te,5
finalmente,adverbio,fi nal men te,3
finamente,adverbio,fi na men te,3
fingidamente,adverbio,fin gi da men te,4
firme,adverbio,fir me,1
firmemente,adverbio,fir me men te,3
físicamente,adverbio,fí si ca men te,1
flacamente,adverbio,fla ca men te,3
flojamente,adverbio,flo ja men te,3
floridamente,adverbio,flo ri da men te,4
fluidamente,adverbio,flui da men te,3
foralmente,adverbio,fo ral men te,3
foras,adverbio,fo ras,1
formalmente,adverbio,for mal men te,3
fortuitamente,adverbio,for tui ta men te,4
forzadamente,adverbio,for za da men te,4
forzado,adverbio,for za do,2
forzosamente,adverbio,for zo sa men te,4
forzudamente,adverbio,for zu da men te,4
fotográficamente,adverbio,fo to grá fi ca men te,3
francamente,adverbio,fran ca men te,3
fraternalmente,adverbio,fra ter nal men te,4
fraudulentamente,adverbio,frau du len ta men te,5
frecuentemente,adverbio,fre cuen te men te,4
frenéticamente,adverbio,fre né ti ca men te,2
frente,adverbio,fren te,1
frescamente,adverbio,fres ca men te,3
fríamente,adverbio,frí a men te,1
fructuosamente,adverbio,fruc tuo sa men te,4
frugalmente,adverbio,fru gal men te,3
fuera,adverbio,fue ra,1
fuerte,adverbio,fuer te,1
fuertemente,adverbio,fuer te men te,3
fugazmente,adverbio,fu gaz men te,3
fundamentalmente,adverbio,fun da men tal men te,5
funestamente,adverbio,fu nes ta men te,4
furiosamente,adverbio,fu rio sa men te,4
furtivamente,adverbio,fur ti va men te,4
galantemente,adverbio,ga lan te men te,4
gallardamente,adverbio,ga llar da men te,4
garbosamente,adverbio,gar bo sa men te,4
generalmente,adverbio,ge ne ral men te,4
genéricamente,adverbio,ge né ri ca men te,2
generosamente,adverbio,ge ne ro sa men te,5
genial,adverbio,ge nial,2
genialmente,adverbio,ge nial men te,3
gentilmente,adverbio,gen til men te,3
geográficamente,adverbio,ge o grá fi ca men te,3
geopolíticamente,adverbio,ge o po lí ti ca men te,4
gitanamente,adverbio,gi ta na men te,4
glacialmente,adverbio,gla cial men te,3
gloriosamente,adverbio,glo rio sa men te,4
golosamente,adverbio,go lo sa men te,4
gozosamente,adverbio,go zo sa men te,4
graciosamente,adverbio,gra cio sa men te,4
gradualmente,adverbio,gra dual men te,3
gráficamente,adverbio,grá fi ca men te,1
gramaticalmente,adverbio,gra ma ti cal men te,5
grandemente,adverbio,gran de men te,3
grandiosamente,adverbio,gran dio sa men te,4
gratamente,adverbio,gra ta men te,3
gratis,adverbio,gra tis,1
gratuitamente,adverbio,gra tui ta men te,4
gravemente,adverbio,gra ve men te,3
groseramente,adverbio,gro se ra men te,4
grotescamente,adverbio,gro tes ca men te,4
gruesamente,adverbio,grue sa men te,3
gubernativamente,adverbio,gu ber na ti va men te,6
guerreramente,adverbio,gue rre ra men te,4
gustosamente,adverbio,gus to sa men te,4
guturalmente,adverbio,gu tu ral men te,4
hábilmente,adverbio,há bil men te,1
habitualmente,adverbio,ha bi tual men te,4
harto,adverbio,har to,1
hastiosamente,adverbio,has tio sa men te,4
he,adverbio,he,1
hediondamente,adverbio,he dion da men te,4
hermanablemente,adverbio,her ma na ble men te,5
herméticamente,adverbio,her mé ti ca men te,2
hermosamente,adverbio,her mo sa men te,4
heroicamente,adverbio,he roi ca men te,4
hidalgamente,adverbio,hi dal ga men te,4
hiperbólicamente,adverbio,hi per bó li ca men te,3
hipotéticamente,adverbio,hi po té ti ca men te,3
historialmente,adverbio,his to rial men te,4
históricamente,adverbio,his tó ri ca men te,2
hogaño,adverbio,ho ga ño,2
holgadamente,adverbio,hol ga da men te,4
homogéneamente,adverbio,ho mo gé ne a men te,3
hondamente,adverbio,hon da men te,3
honestamente,adverbio,ho nes ta men te,4
honoríficamente,adverbio,ho no rí fi ca men te,3
honradamente,adverbio,hon ra da men te,4
honrosamente,adverbio,hon ro sa men te,4
hora,adverbio,ho ra,1
horizontalmente,adverbio,ho ri zon tal men te,5
horrendamente,adverbio,ho rren da men te,4
horriblemente,adverbio,ho rri ble men te,4
horror,adverbio,ho rror,2
horrorosamente,adverbio,ho rro ro sa men te,5
hospitalariamente,adverbio,hos pi ta la ria men te,6
hostilmente,adverbio,hos til men te,3
hoy,adverbio,hoy,1
humanamente,adverbio,hu ma na men te,4
humildemente,adverbio,hu mil de men te,4
idealmente,adverbio,i de al men te,4
idénticamente,adverbio,i dén ti ca men te,2
ignominiosamente,adverbio,ig no mi nio sa men te,6
ignorantemente,adverbio,ig no ran te men te,5
igual,adverbio,i gual,2
igualmente,adverbio,i gual men te,3
ilegalmente,adverbio,i le gal men te,4
ilícitamente,adverbio,i lí ci ta men te,2
ilimitadamente,adverbio,i li mi ta da men te,6
ilusamente,adverbio,i lu sa men te,4
ilustremente,adverbio,i lus tre men te,4
imaginariamente,adverbio,i ma gi na ria men te,6
impacientemente,adverbio,im pa cien te men te,5
imparcialmente,adverbio,im par cial men te,4
impasiblemente,adverbio,im pa si ble men te,5
impensadamente,adverbio,im pen sa da men te,5
imperativamente,adverbio,im pe ra ti va men te,6
imperceptiblemente,adverbio,im per cep ti ble men te,6
imperdonablemente,adverbio,im per do na ble men te,6
imperfectamente,adverbio,im per fec ta men te,5
imperiosamente,adverbio,im pe rio sa men te,5
impersonalmente,adverbio,im per so nal men te,5
impertinentemente,adverbio,im per ti nen te men te,6
imperturbablemente,adverbio,im per tur ba ble men te,6
impetuosamente,adverbio,im pe tuo sa men te,5
impíamente,adverbio,im pí a men te,2
implacablemente,adverbio,im pla ca ble men te,5
implícitamente,adverbio,im plí ci ta men te,2
imponderablemente,adverbio,im pon de ra ble men te,6
importunadamente,adverbio,im por tu na da men te,6
imposiblemente,adverbio,im po si ble men te,5
improbablemente,adverbio,im pro ba ble men te,5
impropiamente,adverbio,im pro pia men te,4
improvisadamente,adverbio,im pro vi sa da men te,6
improvisamente,adverbio,im pro vi sa men te,5
imprudentemente,adverbio,im pru den te men te,5
impúdicamente,adverbio,im pú di ca men te,2
impunemente,adverbio,im pu ne men te,4
impuramente,adverbio,im pu ra men te,4
inaccesiblemente,adverbio,i nac ce si ble men te,6
inadvertidamente,adverbio,i nad ver ti da men te,6
inalterablemente,adverbio,i nal te ra ble men te,6
incansablemente,adverbio,in can sa ble men te,5
incautamente,adverbio,in cau ta men te,4
incesablemente,adverbio,in ce sa ble men te,5
incesantemente,adverbio,in ce san te men te,5
incestuosamente,adverbio,in ces tuo sa men te,5
incidentalmente,adverbio,in ci den tal men te,5
incidentemente,adverbio,in ci den te men te,5
inciertamente,adverbio,in cier ta men te,4
incivilmente,adverbio,in ci vil men te,4
inclusivamente,adverbio,in clu si va men te,5
inclusive,adverbio,in clu si ve,3
incluso,adverbio,in clu so,2
incoherentemente,adverbio,in co he ren te men te,6
incómodamente,adverbio,in có mo da men te,2
incomparablemente,adverbio,in com pa ra ble men te,6
incompletamente,adverbio,in com ple ta men te,5
incomprensiblemente,adverbio,in com pren si ble men te,6
incondicionalmente,adverbio,in con di cio nal men te,6
incongruentemente,adverbio,in con gruen te men te,5
inconscientemente,adverbio,in cons cien te men te,5
inconsideradamente,adverbio,in con si de ra da men te,7
inconsolablemente,adverbio,in con so la ble men te,6
inconstantemente,adverbio,in cons tan te men te,5
incontinente,adverbio,in con ti nen te,4
incontinentemente,adverbio,in con ti nen te men te,6
incontinenti,adverbio,in con ti nen ti,4
incontrastablemente,adverbio,in con tras ta ble men te,6
incorrectamente,adverbio,in co rrec ta men te,5
increíblemente,adverbio,in cre í ble men te,3
incruentamente,adverbio,in cruen ta men te,4
incultamente,adverbio,in cul ta men te,4
indebidamente,adverbio,in de bi da men te,5
indecentemente,adverbio,in de cen te men te,5
indeciblemente,adverbio,in de ci ble men te,5
indecorosamente,adverbio,in de co ro sa men te,6
indefectiblemente,adverbio,in de fec ti ble men te,6
indefinidamente,adverbio,in de fi ni da men te,6
indeleblemente,adverbio,in de le ble men te,5
indeliberadamente,adverbio,in de li be ra da men te,7
independiente,adverbio,in de pen dien te,4
independientemente,adverbio,in de pen dien te men te,6
indeterminadamente,adverbio,in de ter mi na da men te,7
indiferentemente,adverbio,in di fe ren te men te,6
indignamente,adverbio,in dig na men te,4
indirectamente,adverbio,in di rec ta men te,5
indiscretamente,adverbio,in dis cre ta men te,5
indiscriminadamente,adverbio,in dis cri mi na da men te,7
indisolublemente,adverbio,in di so lu ble men te,6
indispensablemente,adverbio,in dis pen sa ble men te,6
indistintamente,adverbio,in dis tin ta men te,5
individualmente,adverbio,in di vi dual men te,5
indivisiblemente,adverbio,in di vi si ble men te,6
indolentemente,adverbio,in do len te men te,5
indudablemente,adverbio,in du da ble men te,5
indulgentemente,adverbio,in dul gen te men te,5
inefablemente,adverbio,i ne fa ble men te,5
ineficazmente,adverbio,i ne fi caz men te,5
ineludiblemente,adverbio,i ne lu di ble men te,6
ineptamente,adverbio,i nep ta men te,4
inequívocamente,adverbio,i ne quí vo ca men te,3
inesperadamente,adverbio,i nes pe ra da men te,6
inevitablemente,adverbio,i ne vi ta ble men te,6
inexactamente,adverbio,i ne xac ta men te,5
inexcusablemente,adverbio,i nex cu sa ble men te,6
inexorablemente,adverbio,i ne xo ra ble men te,6
inexplicablemente,adverbio,i nex pli ca ble men te,6
infaliblemente,adverbio,in fa li ble men te,5
infatigablemente,adverbio,in fa ti ga ble men te,6
infaustamente,adverbio,in faus ta men te,4
infelizmente,adverbio,in fe liz men te,4
infielmente,adverbio,in fiel men te,3
infinitamente,adverbio,in fi ni ta men te,5
infinito,adverbio,in fi ni to,3
inflexiblemente,adverbio,in fle xi ble men te,5
informalmente,adverbio,in for mal men te,4
infortunadamente,adverbio,in for tu na da men te,6
infructuosamente,adverbio,in fruc tuo sa men te,5
infundadamente,adverbio,in fun da da men te,5
ingeniosamente,adverbio,in ge nio sa men te,5
ingenuamente,adverbio,in ge nua men te,4
ingratamente,adverbio,in gra ta men te,4
inhumanamente,adverbio,i nhu ma na men te,5
inicialmente,adverbio,i ni cial men te,4
inicuamente,adverbio,i ni cua men te,4
injuriosamente,adverbio,in ju rio sa men te,5
injustamente,adverbio,in jus ta men te,4
injustificadamente,adverbio,in jus ti fi ca da men te,7
inmaculadamente,adverbio,in ma cu la da men te,6
inmediatamente,adverbio,in me dia ta men te,5
inmejorablemente,adverbio,in me jo ra ble men te,6
inmemorablemente,adverbio,in me mo ra ble men te,6
inmensamente,adverbio,in men sa men te,4
inmoderadamente,adverbio,in mo de ra da men te,6
inmodestamente,adverbio,in mo des ta men te,5
inmortalmente,adverbio,in mor tal men te,4
inmotivadamente,adverbio,in mo ti va da men te,6
innecesariamente,adverbio,in ne ce sa ria men te,6
innegablemente,adverbio,in ne ga ble men te,5
innumerablemente,adverbio,in nu me ra ble men te,6
inocentemente,adverbio,i no cen te men te,5
inopinadamente,adverbio,i no pi na da men te,6
inoportunamente,adverbio,i no por tu na men te,6
inquietamente,adverbio,in quie ta men te,4
insaciablemente,adverbio,in sa cia ble men te,5
inseguramente,adverbio,in se gu ra men te,5
insensiblemente,adverbio,in sen si ble men te,5
inseparablemente,adverbio,in se pa ra ble men te,6
insidiosamente,adverbio,in si dio sa men te,5
insignemente,adverbio,in sig ne men te,4
insistentemente,adverbio,in sis ten te men te,5
insolentemente,adverbio,in so len te men te,5
inspiradamente,adverbio,ins pi ra da men te,5
instantáneamente,adverbio,ins tan tá ne a men te,3
instintivamente,adverbio,ins tin ti va men te,5
institucionalmente,adverbio,ins ti tu cio nal men te,6
instructivamente,adverbio,ins truc ti va men te,5
instrumentalmente,adverbio,ins tru men tal men te,5
insubstancialmente,adverbio,in subs tan cial men te,5
insufriblemente,adverbio,in su fri ble men te,5
insulsamente,adverbio,in sul sa men te,4
insustancialmente,adverbio,in sus tan cial men te,5
integralmente,adverbio,in te gral men te,4
íntegramente,adverbio,ín te gra men te,1
intelectualmente,adverbio,in te lec tual men te,5
inteligiblemente,adverbio,in te li gi ble men te,6
intempestivamente,adverbio,in tem pes ti va men te,6
intencionadamente,adverbio,in ten cio na da men te,6
intencionalmente,adverbio,in ten cio nal men te,5
intensamente,adverbio,in ten sa men te,4
intensivamente,adverbio,in ten si va men te,5
ínter,adverbio,ín ter,1
interesadamente,adverbio,in te re sa da men te,6
ínterin,adverbio,ín te rin,1
interinamente,adverbio,in te ri na men te,5
interiormente,adverbio,in te rior men te,4
internamente,adverbio,in ter na men te,4
interpretativamente,adverbio,in ter pre ta ti va men te,7
interrogativamente,adverbio,in te rro ga ti va men te,7
íntimamente,adverbio,ín ti ma men te,1
intramuros,adverbio,in tra mu ros,3
intrépidamente,adverbio,in tré pi da men te,2
intrincadamente,adverbio,in trin ca da men te,5
intrínsecamente,adverbio,in trín se ca men te,2
intrusamente,adverbio,in tru sa men te,4
intuitivamente,adverbio,in tui ti va men te,5
inusitadamente,adverbio,i nu si ta da men te,6
inútilmente,adverbio,i nú til men te,2
inválidamente,adverbio,in vá li da men te,2
invariablemente,adverbio,in va ria ble men te,5
invenciblemente,adverbio,in ven ci ble men te,5
inversamente,adverbio,in ver sa men te,4
inviolablemente,adverbio,in vio la ble men te,5
invisiblemente,adverbio,in vi si ble men te,5
involuntariamente,adverbio,in vo lun ta ria men te,6
irónicamente,adverbio,i ró ni ca men te,2
irracionalmente,adverbio,i rra cio nal men te,5
irreductiblemente,adverbio,i rre duc ti ble men te,6
irreflexivamente,adverbio,i rre fle xi va men te,6
irregularmente,adverbio,i rre gu lar men te,5
irremediablemente,adverbio,i rre me dia ble men te,6
irremisiblemente,adverbio,i rre mi si ble men te,6
irreparablemente,adverbio,i rre pa ra ble men te,6
irreprensiblemente,adverbio,i rre pren si ble men te,6
irresistiblemente,adverbio,i rre sis ti ble men te,6
irrespetuosamente,adverbio,i rres pe tuo sa men te,6
irreverentemente,adverbio,i rre ve ren te men te,6
irrevocablemente,adverbio,i rre vo ca ble men te,6
irrisoriamente,adverbio,i rri so ria men te,5
ítem,adverbio,í tem,1
jactanciosamente,adverbio,jac tan cio sa men te,5
jamás,adverbio,ja más,2
jocosamente,adverbio,jo co sa men te,4
jovialmente,adverbio,jo vial men te,3
jubilosamente,adverbio,ju bi lo sa men te,5
judicialmente,adverbio,ju di cial men te,4
juiciosamente,adverbio,jui cio sa men te,4
juntamente,adverbio,jun ta men te,3
junto,adverbio,jun to,1
jurídicamente,adverbio,ju rí di ca men te,2
justamente,adverbio,jus ta men te,3
justificadamente,adverbio,jus ti fi ca da men te,6
justo,adverbio,jus to,1
laboriosamente,adverbio,la bo rio sa men te,5
lacónicamente,adverbio,la có ni ca men te,2
lacrimosamente,adverbio,la cri mo sa men te,5
ladinamente,adverbio,la di na men te,4
ladronamente,adverbio,la dro na men te,4
lamentablemente,adverbio,la men ta ble men te,5
lánguidamente,adverbio,lán gui da men te,1
largamente,adverbio,lar ga men te,3
largo,adverbio,lar go,1
lascivamente,adverbio,las ci va men te,4
lastimeramente,adverbio,las ti me ra men te,5
lastimosamente,adverbio,las ti mo sa men te,5
latamente,adverbio,la ta men te,3
lateralmente,adverbio,la te ral men te,4
laudablemente,adverbio,lau da ble men te,4
lealmente,adverbio,le al men te,3
legalmente,adverbio,le gal men te,3
legítimamente,adverbio,le gí ti ma men te,2
lejitos,adverbio,le ji tos,2
lejos,adverbio,le jos,1
lentamente,adverbio,len ta men te,3
lento,adverbio,len to,1
levemente,adverbio,le ve men te,3
liberalmente,adverbio,li be ral men te,4
libidinosamente,adverbio,li bi di no sa men te,6
libremente,adverbio,li bre men te,3
licenciosamente,adverbio,li cen cio sa men te,5
lícitamente,adverbio,lí ci ta men te,1
ligeramente,adverbio,li ge ra men te,4
limitadamente,adverbio,li mi ta da men te,5
limpiamente,adverbio,lim pia men te,3
limpio,adverbio,lim pio,1
lindamente,adverbio,lin da men te,3
líquidamente,adverbio,lí qui da men te,1
lisamente,adverbio,li sa men te,3
lisonjeramente,adverbio,li son je ra men te,5
literalmente,adverbio,li te ral men te,4
literariamente,adverbio,li te ra ria men te,5
livianamente,adverbio,li via na men te,4
llanamente,adverbio,lla na men te,3
llenamente,adverbio,lle na men te,3
llorosamente,adverbio,llo ro sa men te,4
loablemente,adverbio,lo a ble men te,4
locamente,adverbio,lo ca men te,3
lógicamente,adverbio,ló gi ca men te,1
longitudinalmente,adverbio,lon gi tu di nal men te,6
lozanamente,adverbio,lo za na men te,4
lucidamente,adverbio,lu ci da men te,4
lúcidamente,adverbio,lú ci da men te,1
luego,adverbio,lue go,1
lúgubremente,adverbio,lú gu bre men te,1
lujosamente,adverbio,lu jo sa men te,4
lujuriosamente,adverbio,lu ju rio sa men te,5
luminosamente,adverbio,lu mi no sa men te,5
lustrosamente,adverbio,lus tro sa men te,4
maestramente,adverbio,ma es tra men te,4
mágicamente,adverbio,má gi ca men te,1
magistralmente,adverbio,ma gis tral men te,4
magníficamente,adverbio,mag ní fi ca men te,2
majestuosamente,adverbio,ma jes tuo sa men te,5
mal,adverbio,mal,1
malamente,adverbio,ma la men te,3
malavez,adverbio,ma la vez,3
malditamente,adverbio,mal di ta men te,4
maliciosamente,adverbio,ma li cio sa men te,5
malignamente,adverbio,ma lig na men te,4
malvadamente,adverbio,mal va da men te,4
mancomunadamente,adverbio,man co mu na da men te,6
manifiestamente,adverbio,ma ni fies ta men te,5
mansamente,adverbio,man sa men te,3
mansito,adverbio,man si to,2
manteniente,adverbio,man te nien te,3
manualmente,adverbio,ma nual men te,3
mañana,adverbio,ma ña na,2
mañosamente,adverbio,ma ño sa men te,4
maquinalmente,adverbio,ma qui nal men te,4
maravillosamente,adverbio,ma ra vi llo sa men te,6
marcadamente,adverbio,mar ca da men te,4
más,adverbio,más,1
matemáticamente,adverbio,ma te má ti ca men te,3
materialmente,adverbio,ma te rial men te,4
matrimonialmente,adverbio,ma tri mo nial men te,5
máxime,adverbio,má xi me,1
mayoritariamente,adverbio,ma yo ri ta ria men te,6
mayormente,adverbio,ma yor men te,3
mecánicamente,adverbio,me cá ni ca men te,2
medianamente,adverbio,me dia na men te,4
mediatamente,adverbio,me dia ta men te,4
medicinalmente,adverbio,me di ci nal men te,5
medio,adverbio,me dio,1
mediocremente,adverbio,me dio cre men te,4
medrosamente,adverbio,me dro sa men te,4
mejor,adverbio,me jor,2
melancólicamente,adverbio,me lan có li ca men te,3
melifluamente,adverbio,me li flua men te,4
melindrosamente,adverbio,me lin dro sa men te,5
melodiosamente,adverbio,me lo dio sa men te,5
menos,adverbio,me nos,1
menospreciablemente,adverbio,me nos pre cia ble men te,6
menstrualmente,adverbio,mens trual men te,3
mensualmente,adverbio,men sual men te,3
mentalmente,adverbio,men tal men te,3
mentirosamente,adverbio,men ti ro sa men te,5
menudamente,adverbio,me nu da men te,4
menudo,adverbio,me nu do,2
meramente,adverbio,me ra men te,3
mercantilmente,adverbio,mer can til men te,4
merecidamente,adverbio,me re ci da men te,5
meritoriamente,adverbio,me ri to ria men te,5
mesuradamente,adverbio,me su ra da men te,5
metafóricamente,adverbio,me ta fó ri ca men te,3
metalingüísticamente,adverbio,me ta lin güís ti ca men te,4
meticulosamente,adverbio,me ti cu lo sa men te,6
metódicamente,adverbio,me tó di ca men te,2
mezcladamente,adverbio,mez cla da men te,4
mezquinamente,adverbio,mez qui na men te,4
mientra,adverbio,mien tra,1
mientras,adverbio,mien tras,1
milagrosamente,adverbio,mi la gro sa men te,5
militarmente,adverbio,mi li tar men te,4
mimosamente,adverbio,mi mo sa men te,4
ministerialmente,adverbio,mi nis te rial men te,5
minuciosamente,adverbio,mi nu cio sa men te,5
miserablemente,adverbio,mi se ra ble men te,5
misericordiosamente,adverbio,mi se ri cor dio sa men te,7
mismamente,adverbio,mis ma men te,3
misteriosamente,adverbio,mis te rio sa men te,5
místicamente,adverbio,mís ti ca men te,1
moderadamente,adverbio,mo de ra da men te,5
modernamente,adverbio,mo der na men te,4
modestamente,adverbio,mo des ta men te,4
mogollón,adverbio,mo go llón,3
molestamente,adverbio,mo les ta men te,4
momentáneamente,adverbio,mo men tá ne a men te,3
monstruosamente,adverbio,mons truo sa men te,4
moralmente,adverbio,mo ral men te,3
mordazmente,adverbio,mor daz men te,3
morosamente,adverbio,mo ro sa men te,4
mortalmente,adverbio,mor tal men te,3
mucho,adverbio,mu cho,1
musicalmente,adverbio,mu si cal men te,4
mustiamente,adverbio,mus tia men te,3
mutuamente,adverbio,mu tua men te,3
muy,adverbio,muy,1
nacionalmente,adverbio,na cio nal men te,4
nada,adverbio,na da,1
naturalmente,adverbio,na tu ral men te,4
necesariamente,adverbio,ne ce sa ria men te,5
necesario,adverbio,ne ce sa rio,3
neciamente,adverbio,ne cia men te,3
negativamente,adverbio,ne ga ti va men te,5
negligentemente,adverbio,ne gli gen te men te,5
nerviosamente,adverbio,ner vio sa men te,4
netamente,adverbio,ne ta men te,3
nimiamente,adverbio,ni mia men te,3
no,adverbio,no,1
noblemente,adverbio,no ble men te,3
nombradamente,adverbio,nom bra da men te,4
nominalmente,adverbio,no mi nal men te,4
non,adverbio,non,1
nones,adverbio,no nes,1
normalmente,adverbio,nor mal men te,3
notablemente,adverbio,no ta ble men te,4
notoriamente,adverbio,no to ria men te,4
nuevamente,adverbio,nue va men te,3
nulamente,adverbio,nu la men te,3
numéricamente,adverbio,nu mé ri ca men te,2
numerosamente,adverbio,nu me ro sa men te,5
nunca,adverbio,nun ca,1
o,adverbio,o,1
obedientemente,adverbio,o be dien te men te,5
objetivamente,adverbio,ob je ti va men te,5
oblicuamente,adverbio,o bli cua men te,4
obscenamente,adverbio,obs ce na men te,4
obscuramente,adverbio,obs cu ra men te,4
obsequiosamente,adverbio,ob se quio sa men te,5
obstinadamente,adverbio,obs ti na da men te,5
obviamente,adverbio,ob via men te,3
ocasionalmente,adverbio,o ca sio nal men te,5
ociosamente,adverbio,o cio sa men te,4
ocularmente,adverbio,o cu lar men te,4
ocultamente,adverbio,o cul ta men te,4
odiosamente,adverbio,o dio sa men te,4
ofensivamente,adverbio,o fen si va men te,5
oficialmente,adverbio,o fi cial men te,4
